what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655365683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655370667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655370667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655375120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655655913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347655669679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887055666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887056353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887056353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887056478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887546597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347887549909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347900279231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347900353089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347900353089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347900353183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914565181
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1347914566197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914566666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914612993
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1347914621946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914694289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914695898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347914695898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986284555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986286446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986286602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986287321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986292993
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347986294164
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1347986299711
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1347986299727
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1347986299758
